code insee,ville,code postal,latitude,longitude,pays
4157,PUIMOISSON,4410,43.8849946548, 6.15663492635,FR
4159,REDORTIERS,4150,44.0485937813, 5.61131710182,FR
7075,CROS DE GEORAND,7630,44.823196527, 4.12827779008,FR
7059,CHATEAUBOURG,7130,44.9316322296, 4.81226403261,FR
7053,CHANDOLAS,7230,44.4641163394, 4.18572827248,FR
7048,CHALENCON,7240,44.8957469778, 4.61507184197,FR
7051,CHAMPAGNE,7340,45.2924764647, 4.74577611197,FR
7065,CHIROLS,7380,44.6419926535, 4.23684752735,FR
7077,DARBRES,7170,44.577154025, 4.48966279879,FR
7052,CHAMPIS,7440,44.944716427, 4.72650218637,FR
7039,BOZAS,7410,45.0785518852, 4.63820208149,FR
8107,CHATEAU PORCIEN,8360,49.5450302072, 4.21650848613,FR
8115,CHEMERY CHEHERY,8450,49.6051172684, 4.92625814673,FR
8082,BRECY BRIERES,8400,49.3759788124, 4.68476998487,FR
8097,CHALLERANGE,8400,49.3759788124, 4.68476998487,FR
8120,CHEVIERES,8250,49.3052152829, 4.87924744188,FR
8104,CHARDENY,8400,49.3759788124, 4.68476998487,FR
8203,GUIGNICOURT SUR VENCE,8430,49.640530091, 4.63694395788,FR
8180,LA FRANCHEVILLE,8000,49.7589748085, 4.71308364849,FR
8200,GRIVY LOISY,8400,49.3759788124, 4.68476998487,FR
8211,HARAUCOURT,8450,49.6051172684, 4.92625814673,FR
8223,HERBEUVAL,8370,49.5990875721, 5.27880368483,FR
8220,HAUVINE,8310,49.3635077627, 4.43297841227,FR
8172,FLIGNY,8380,49.91319612, 4.30466764624,FR
8235,ISSANCOURT ET RUMEL,8440,49.7465336406, 4.81357930291,FR
8225,HERPY L ARLESIENNE,8360,49.5450302072, 4.21650848613,FR
